epoch,mIoU,step,train/batches,train/device/batches_per_sec,train/device/samples_per_sec,train/samples,train/time,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step,validate/batches,validate/device/batches_per_sec,validate/device/samples_per_sec,validate/samples,validate/time
,,153,,,,,,,,,0.35237622261047363,,,,,
,,154,,,,,,,,,1.2463271617889404,,,,,
,,155,,,,,,,,,0.4129188656806946,,,,,
,,156,,,,,,,,,0.6891270279884338,,,,,
,,157,,,,,,,,,0.8492577075958252,,,,,
,,158,,,,,,,,,0.6592998504638672,,,,,
,,159,,,,,,,,,0.47512826323509216,,,,,
,,160,,,,,,,,,0.6323243379592896,,,,,
,,161,,,,,,,,,0.7867306470870972,,,,,
,,162,,,,,,,,,0.6457686424255371,,,,,
,,163,,,,,,,,,0.7622337937355042,,,,,
,,164,,,,,,,,,0.5412254929542542,,,,,
,,165,,,,,,,,,0.34385204315185547,,,,,
,,166,,,,,,,,,0.30962494015693665,,,,,
,,167,,,,,,,,,0.35761523246765137,,,,,
,,168,,,,,,,,,0.5869331955909729,,,,,
,,169,,,,,,,,,0.43580684065818787,,,,,
,,170,,,,,,,,,0.44701969623565674,,,,,
,,171,,,,,,,,,1.1021064519882202,,,,,
,,172,,,,,,,,,0.35709333419799805,,,,,
,,173,,,,,,,,,0.34947919845581055,,,,,
,,174,,,,,,,,,1.131523609161377,,,,,
,,175,,,,,,,,,1.0174211263656616,,,,,
,,176,,,,,,,,,0.9234915971755981,,,,,
,,177,,,,,,,,,0.7060243487358093,,,,,
,,178,,,,,,,,,2.0545060634613037,,,,,
,,179,,,,,,,,,0.6332930326461792,,,,,
,,180,,,,,,,,,0.4053495228290558,,,,,
,,181,,,,,,,,,0.23659305274486542,,,,,
,,182,,,,,,,,,0.3712267577648163,,,,,
,,183,,,,,,,,,0.29309120774269104,,,,,
,,184,,,,,,,,,0.5730411410331726,,,,,
,,185,,,,,,,,,0.5769446492195129,,,,,
,,186,,,,,,,,,0.4430539011955261,,,,,
,,187,,,,,,,,,0.6045033931732178,,,,,
,,188,,,,,,,,,0.5854760408401489,,,,,
,,189,,,,,,,,,0.3668633699417114,,,,,
,,190,,,,,,,,,0.5961591601371765,,,,,
,,191,,,,,,,,,0.991997241973877,,,,,
,,192,,,,,,,,,1.0064178705215454,,,,,
